"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model","fitted_link","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition"
"FC-001","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,
"FC-003","forced_choice","paper_anchor","paper_anchor;scale_location",TRUE,"Higher performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0.8,0.6,-0.9,0,1,1,"beta_intercept",0.8,,,,,,,,,,,,,,,,,,
"FC-004","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 0.50; group effect x 0.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.3,-0.45,0,0.5,0.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-005","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 1.00; group effect x 0.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.45,0,1,0.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-006","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 1.50; group effect x 0.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.9,-0.45,0,1.5,0.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-007","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 0.50; group effect x 1.00","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.3,-0.9,0,0.5,1,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-008","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 1.50; group effect x 1.00","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.9,-0.9,0,1.5,1,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-009","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 0.50; group effect x 1.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.3,-1.35,0,0.5,1.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
"FC-010","forced_choice","main_effect_surface","main_effect_surface",FALSE,"Age effect x 1.00; group effect x 1.50","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-1.35,0,1,1.5,"beta_age_multiplier;beta_group_multiplier",,,,,,,,,,,,,,,,,,,
