"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model","fitted_link","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition","diagnostic_source_slice","diagnostic_paper_anchor","diagnostic_slice_membership","wrong_fitted_link","wrong_model_label","diagnostic_note","diagnostic","applicable","computed","B_requested","dharma_n_sim","n_attempted","n_successful","detection_count","detection_rate","detection_mc_se","detection_ci_low","detection_ci_high","pseudo_interaction_n_successful","pseudo_interaction_detection_count","pseudo_interaction_detection_rate","pseudo_interaction_mc_se","pseudo_interaction_ci_low","pseudo_interaction_ci_high","aic_delta_n","aic_delta_median","aic_delta_q25","aic_delta_q75","aic_delta_within_two_rate","fit_success_rate","generated_at","atlas_version","run_type"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","AIC favors generating link",TRUE,TRUE,3,25,3,3,3,1,0,0.438502968244955,1,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa uniformity",TRUE,TRUE,3,25,3,3,0,0,0,0,0.561497031755045,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa dispersion",TRUE,TRUE,3,25,3,3,0,0,0,0,0.561497031755045,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over fitted values",TRUE,TRUE,3,25,3,3,0,0,0,0,0.561497031755045,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over focal predictor",TRUE,TRUE,3,25,3,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual distribution across design cells",FALSE,FALSE,3,25,3,0,0,,,,,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","Pregibon-style added-term link check",TRUE,TRUE,3,25,3,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,3,3.8716534247601,3.84126485875572,7.01427210645534,0,1,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-SS-001","sum_scores","diagnostic_not_defined","diagnostic_not_defined",FALSE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"diagnostic_not_defined",FALSE,"diagnostic_not_defined",,"No comparable paper diagnostic","The paper does not compare diagnostics for the sum-score models because their response variables/scales do not support a same-likelihood AIC comparison.","AIC favors generating link",FALSE,FALSE,0,,0,0,0,,,,,0,0,,,,,0,,,,,,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-SS-001","sum_scores","diagnostic_not_defined","diagnostic_not_defined",FALSE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"diagnostic_not_defined",FALSE,"diagnostic_not_defined",,"No comparable paper diagnostic","The paper does not compare diagnostics for the sum-score models because their response variables/scales do not support a same-likelihood AIC comparison.","DHARMa uniformity",FALSE,FALSE,0,,0,0,0,,,,,0,0,,,,,0,,,,,,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
"D-SS-001","sum_scores","diagnostic_not_defined","diagnostic_not_defined",FALSE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"diagnostic_not_defined",FALSE,"diagnostic_not_defined",,"No comparable paper diagnostic","The paper does not compare diagnostics for the sum-score models because their response variables/scales do not support a same-likelihood AIC comparison.","DHARMa dispersion",FALSE,FALSE,0,,0,0,0,,,,,0,0,,,,,0,,,,,,"2026-08-07 13:21:57 UTC","0.1.0","smoke"
